decision_id	decision_kind	stage	issue_or_scope	source_or_tension	resolution_hard_gate	status	owner	evidence_required	resulting_graph_effect
D019	retention	3	Reproducibility versus storage pressure	Keeping every intermediate forever conflicts with quota; immediate cleanup harms audit	Retain provenance/final/failures/telemetry through publication plus seven years, inputs through reproducibility review, reproducible intermediates through QC plus 90 days, failed partials <=14 days; cleanup requires exact checksum ledger	requires explicit user authorization	Human project owner and Data Steward	A81 or stage-specific signed retention/deletion list and rehydration test	No unresolved glob deletion; quota pressure causes no-go until decision
D020	review	4	Pilot success versus permission to expand	An automatic graph could treat passing evaluation as authorization	Independent quality, statistical/circularity, resource prediction, storage and MooseFS review only makes A50 askable	proceed within recorded bounded scope	Independent four-reviewer panel	Closed pilot packet and all quantitative thresholds	No expansion executable becomes ready from R30 alone
D021	authorization	5	Each expansion wave	Tier3 plan says separately reviewed waves; a blanket decision would bypass future evidence	Every wave has a unique human A50/A5N with exact rows, downloads, compute, I/O, retention, expiry and rollback	requires explicit user authorization	Human project owner plus review panel	Prior-wave closed ledger, telemetry refit and signed next-wave manifest	Each wave executable directly depends on its own decision
D022	authorization	6	Full-catalog Slurm submission	Wave approvals or synthesis could be misread as catalog permission	Require distinct joint A60 after full-readiness review; cumulative high envelope is a ceiling, not an allocation request	requires explicit user authorization	Human project owner plus Scientific, HPC Storage and Reproducibility Reviewers	Zero retries/blockers, exact remaining rows, >=25% headroom, 100% hash and >=99.9% record QC	Full Tier3A/Tier3C executables directly depend on A60
D023	contradiction	6	Tier3A reported 40 and Tier3C reported 120 overlap	Adding 40+120 would double-count shared assets and overstate catalog species	Model combined reported catalog as 120 species with checksum-deduplicated assets; keep modality eligibility and results separate	proceed within recorded bounded scope	Inventory Curator and HPC Storage Reviewer	Exact overlap and checksum deduplication ledger	Resource totals use combined resource-budget rows, not 160 species
D024	resource	6	Assembly low/base/high values versus incomplete telemetry	Upstream budget includes measured timing but missing Tier3A RSS/scratch/MooseFS counters	Preserve 28/116.2/1482 core-h and all stated low/base/high planning bounds; label them non-allocating and require pilot telemetry/refit before wave decisions	proceed within recorded bounded scope	HPC Storage Reviewer	Pilot five-second metrics, sacct/sidecar, file/inode and MooseFS counters	A50/A60 cannot approve from genome length alone
D025	contradiction	7	H1/H2 assembly pairs versus PSMC/MSMC2/SMC++ inputs	Assembly plan has pair diversity; Ne plan has method-specific callable genotype/cohort requirements	Assembly status never promotes population/demographic status; require method-valid genotype/consensus or cohort, exact reference/masks, phase where needed and population proof	proceed within recorded bounded scope	Demographic Methods Reviewer	Method matrix gates and exact input ledger	Invalid H1/H2 conversion is rejected and retained
D026	circularity	7	Ne algebraically inferred from response pi or genomic histories reused as predictors	Such values can appear biologically meaningful but recode the same observations	Reject pi/(4mu), equivalents, response theta, and shared-site/sample PSMC/MSMC2/SMC++/SFS as primary predictors; primary overlap must equal none and unknown fails closed	proceed within recorded bounded scope	Statistical/Circularity Reviewer	Response dataset IDs, site/sample/mask overlap audit and validator anti-join	Excluded rows remain only in circularity/missingness ledger
D027	contradiction	7	Literature label Ne versus genuinely independent measured demography	Copying a value from a paper does not prove independent samples/sites or compatible estimand	Audit underlying data and retain exact Ne_LD, NeV, pedigree/inbreeding/variance Ne or Nb with population/date/method/uncertainty; never generic Ne	proceed within recorded bounded scope	Demographic Source Curator	Original source locator, samples/loci, overlap, taxon/population/time match	Only exact independent records enter separate secondary models
D028	scaling	7	Native coalescent scales versus desired absolute Ne/calendar time	Borrowed point mutation and generation rates can create false precision	Retain scaled outputs first; absolute scenarios require foreign-keyed per-generation mu and generation-time distributions, ploidy/heredity, recombination treatment, transfer distance and propagated joint uncertainty	proceed within recorded bounded scope	Demographic Methods and Calibration Reviewers	Formula/convention and calibration scenario records with draws	Missing calibration yields scaled-only output, never an imputed absolute point
D029	authorization	7	Bulk or very large demographic acquisition	Metadata preflight may expose raw-read or population assets exceeding normal storage	Require A70 for exact URLs/accessions/terms/bytes, <=2 TiB hard pilot acquisition/scratch ceiling, bandwidth, retention and rollback	requires explicit user authorization	Human project owner, Data Steward and HPC Storage Reviewer	Provider sizes/checksums, source terms and low/base/high I/O model	S70 directly depends on A70; A60 has no authority
D030	authorization	7	Expensive demographic inference	Successful staging could otherwise make PSMC/MSMC2/SMC++/SFS/BPP ready	Require separate A71 for exact methods/species/profiles and <=2000 core-h, 256 GiB/job, 2 TiB scratch, 300 GB persistent and I/O/concurrency caps	requires explicit user authorization	Human project owner plus Demographic, Circularity and HPC Reviewers	Validated inputs, synthetic truth, power/resource model and signed command manifest	D71 directly depends on A71; acquisition approval alone is insufficient
D031	resource	7	Demographic low/base/high demand versus zero frozen inputs and no telemetry	Task asks totals but upstream strategy supplies only method ranges and hard pilot caps	Publish provisional 300/1000/2000 core-h partitions with explicit amplification assumptions; require Phase-7 replacement from provider sizes and pilot telemetry; do not estimate catalog-scale demographic total	deferred	Demographic Methods and HPC Storage Reviewers	Exact method mix, provider bytes, synthetic benchmark and pilot telemetry before any scale-out	Only bounded pilot can be considered; demographic catalog program is absent
D032	phylogeny	8	Species, population and assembly units could be pooled	Scaleout plan uses species unit while Ne plan permits multiple populations nested within species	Keep assembly and population responses separate; nest populations in species with within-species covariance; exact TaxId/tree tip only; no fuzzy joins	proceed within recorded bounded scope	Statistical and Phylogenetic Reviewers	Frozen tree ensemble, population crosswalk and unit-labeled response rows	Final models consume separate strata and join only in tier-labeled synthesis
D033	missingness	8	Unavailable/failed rows versus pressure to maximize sample size	Both plans require closed-world ledgers and prohibit zero substitution	No mean/zero imputation in primary evidence; distinguish not measured, inaccessible, failed QC/resource, structural exclusion, unmatched taxon and circular exclusion; report selection by clade/traits without using pi for inclusion	proceed within recorded bounded scope	Statistical Reviewer	Exact set equality and missingness/selection audit	Collectors and release fail on any dropped row
D034	authorization	8	Final statistical fit	Frozen inputs and passing branches are not permission to run or publish	Require A80 for exact tables/formulas/resources and A81 separately for release/cleanup	requires explicit user authorization	Human project owner and Independent Results Reviewer	Non-circular design matrix, tree/model freeze, artifact hashes, <=16 CPU/64 GiB/48 h/100 GB and release review	X80 depends on A80; release depends on A81
D035	deferment	7	Full demographic catalog or unbounded method expansion	No frozen eligible vertebrate inputs, method mix, provider bytes, telemetry or defensible total exists	Do not create a ready scale-out node; retain smaller descriptive methods if valid and propose a new reviewed program only after pilot	deferred	Human project owner	Reviewed Q71 packet, measured resource model and new explicit graph	No default path beyond bounded demographic pilot
D036	assertion	all	Whether synthesis launched jobs, inference or downloads	Task explicitly prohibits Slurm, demographic inference and bulk downloads	Assert and manually verify no sbatch/srun/job IDs, retrieval/staging manifests, biological assets or inference outputs were created; generated commands remain inert	proceed within recorded bounded scope	Program Architect	Git diff, process/scheduler-safe checks, artifact list and completion log	Full execution stays blocked at A60, A70 and A71
