gate_id	scope	gate	threshold	observed	status	evidence	decision_consequence
B00	passing_psmc_unit	pre-registered primary bootstrap attempts	exactly 200	no passing PSMC unit	NOT_REACHED	0 attempts	cannot support GO
B01	passing_psmc_unit	minimum bootstrap attempts	>=100	no passing PSMC unit	NOT_REACHED	0 attempts; not a violation assigned to a passing unit	cannot support GO
B02	passing_psmc_unit	finite bootstrap fraction	>=0.95	no passing PSMC unit	NOT_REACHED	0/0, explicitly not applicable	cannot support GO
B02A	passing_psmc_unit	finite primary bootstrap successes	>=190/200	no passing PSMC unit	NOT_REACHED	0/0, explicitly not applicable	cannot support GO
B03	passing_psmc_unit	boundary-aware block construction	5-Mb primary; 1/10-Mb sensitivities; never cross contig/mask boundary	no bootstrap units	NOT_REACHED	callable mask absent	cannot support GO
B04	diversity	heterozygosity bootstrap replicates	10,000	0/10 attempted	NOT_REACHED	diversity not materialized	cannot support GO
D01	reproducibility	P07/P08 full independent biological recomputation	2 sentinels; digest mismatches=0	20 inputs rehashed; biological outputs ineligible	NOT_REACHED	independent review root	re-pilot must complete biological comparison
D02	reproducibility	other-pair deterministic shard comparison	1 shard each; digest mismatches=0	0/8 biological shards eligible	NOT_REACHED	all stopped at preflight	re-pilot must complete biological comparison
P00	program	primary slots adjudicated	exactly 10	10	PASS	closed result ledger	none
P01	program	primary callable+consensus passes	>=8/10	0/10	FAIL	all primaries failed preflight	core GO prohibited
P02	program	required major clades among passers	6/6	0/6	FAIL	no passers	core GO prohibited
P03	program	assembly generations among passers	2/2	0/2	FAIL	no passers	core GO prohibited
P04	program	no technology-stratum systematic failure	failure fraction <0.50	1.00 in both early CLR and later HiFi strata	FAIL	shared missing-QC packet; not evidence that either technology is biologically invalid	core GO prohibited
P05	program	zero hard-gate violations	0	measured identity/checksum violations=0; downstream hard gates not reached	NOT_REACHED	positive downstream hard-gate evidence absent	core GO prohibited
R01	resource_model	median absolute percentage error	<=0.25	not estimable	FAIL_NOT_ESTIMABLE	zero biological jobs with positive predictions/observations	core GO prohibited
R02	resource_model	95th percentile absolute percentage error	<=0.50	not estimable	FAIL_NOT_ESTIMABLE	zero biological jobs with positive predictions/observations	core GO prohibited
R03	resource_model	storage headroom	>=0.25	0.25 retained in corrected envelope	PASS	resource manifest	planning only; does not rescue APE failure
R04	resource_model	per-job stop multiple	1.5x reviewed high estimate	1.5x retained; no job invoked	PASS	resource manifest	planning only; not a global ceiling
L01	ledger	all primary slots reconciled	10/10	10/10	PASS	no drop/replacement	none
L02	ledger	all alternates reconciled	6/6	6/6 standby; 0 activated	PASS	no amendment	none
L03	ledger	failure/warning reason totals	exact	43 reason instances across 6 codes	PASS	result/QC/failure/summary equality	none
N01	interpretation	annotation absence cannot veto core	zero annotation-driven core failures	0	PASS	P03/P04 annotation mismatch remained branch-local	none
N02	interpretation	same-pair PSMC is not independent validation	no independent claim	no PSMC result and no claim	PASS	decision/report wording	none
