field_name	type	cardinality	required_for	controlled_vocabulary_or_format	definition_and_validation	missingness_or_exclusion_policy
callable_mask_path	string	0..1	genomic	project-relative or approved absolute path	Reference-matched callable/missing intervals	Missing rejects sequential/SFS inference
callable_mask_sha256	string	0..1	genomic	64 lowercase hex	Mask identity	Missing rejects new inference
callable_bases	integer	0..1	genomic	>=0	Audited callable denominator	Zero/missing rejects inference
coverage_median_x	number	0..1	raw_read_calling	>=0	Autosomal median depth	Unknown requires deposited-callset validation route
genotype_error_rate	number	0..1	genomic	0..1	Validated error estimate	Unknown triggers sensitivity/quality downgrade
missing_genotype_fraction	number	0..1	genomic	0..1	Post-filter missingness	Threshold is method/pilot specific
mutation_rate_value	number	0..1	absolute_conversion	per bp per generation	Exact mu used, never borrowed invisibly	Missing retains scaled units only
mutation_rate_source_record_id	string	0..1	absolute_conversion	record_id foreign key	Direct-trio/literature/model rate provenance	Required for absolute conversion
mutation_rate_match_distance	enum	0..1	absolute_conversion	direct_population|same_species|subspecies|congener|family|model_predicted|higher	Transfer distance for mu	Beyond same species is scenario-only
mutation_rate_uncertainty_path	string	0..1	absolute_conversion	project-relative path	Distribution/scenarios for mu	Borrowed/model mu requires this field
generation_time_value	number	0..1	calendar_conversion	years per generation	Exact g used for calendar scaling	Missing keeps generations, not years
generation_time_source_record_id	string	0..1	calendar_conversion	record_id foreign key	Provenance for g	Required for calendar conversion
generation_time_match_distance	enum	0..1	calendar_conversion	direct_population|same_species|subspecies|congener|family|model_predicted|higher	Transfer distance for g	Beyond same species is scenario-only
generation_time_uncertainty_path	string	0..1	calendar_conversion	project-relative path	Distribution/scenarios for g	Borrowed/model g requires this field
ploidy_convention	string	0..1	genomic_absolute	method-specific formula	Autosomal diploid/haploid/sex-linked convention and formula	Missing prohibits absolute label
recombination_assumption	string	0..1	linkage_method	map/rate/rho-over-mu convention	Exact recombination input or fitted assumption	Missing prevents absolute/rate interpretation when relevant
calibration_population_id	string	0..1	absolute_conversion	population_id	Population from which mu/g/map/model calibration came	Missing if direct species-level; otherwise required
quality_flag	enum	1	all	A_truth|B_primary|C_secondary|D_scenario|E_candidate|X_excluded	Overall evidence class under written rubric	Missing rejects record
quality_notes	string	0..1	all	UTF-8	Specific limitations, reviewer decisions and deviations	Never use notes to override a failed hard gate
response_dataset_overlap	enum	1	all	none|same_species_different_population|same_population_different_samples|shared_samples_different_loci|shared_sites_or_samples|derived_from_response|unknown	Operational circularity/leakage field relative to analyzed pi	Only none is eligible primary; unknown excluded from primary
independence_tier	enum	1	all	independent_primary|independent_secondary|partially_shared|genomic_shared|circular_excluded	Analysis permission derived from overlap and method	Circular/shared cannot enter primary independent-covariate design matrix
response_dataset_id	string	0..1	all	project dataset ID	Pi dataset against which independence was audited	Required before analysis freeze
population_match_score	number	0..1	join	0..1 prespecified rubric	Spatial/population correspondence, not subjective post hoc	Below pilot threshold excludes population-level claim
temporal_match_score	number	0..1	join	0..1 prespecified rubric	Overlap/proximity between covariate and pi sampling dates	Below pilot threshold moves record to sensitivity only
join_decision	enum	1	all	exact_population|near_population|species_only|taxonomic_transfer|no_join	Final allowed join granularity	Primary population analysis requires exact/approved near match
phylogeny_tip_id	string	0..1	primary_species_analysis	exact tree tip	Identifier in frozen tree	Missing species is excluded from phylogenetic primary fit, not assigned a congener tip
measurement_error_model	string	0..1	quantitative_analysis	distribution plus parameters/path	Likelihood/prior used for uncertain predictor/response	Point-imputation without error model prohibited
missingness_code	enum	1	all	not_missing|not_measured|not_reported|not_applicable|not_accessible|failed_qc|taxon_unmatched|structural_exclusion	Why a value is null	Missing is never encoded as zero
imputation_status	enum	1	all	observed|interval_censored|model_imputed|scenario_transferred|not_imputed	Observed versus modeled status	Model-imputed predictors excluded from main fit; permitted in labeled sensitivity
curation_state	enum	1	all	extracted|verified|frozen|superseded	Workflow status	Only frozen records enter preregistered analysis
