check_id	category	subject	decision	observed	expected	evidence	notes
source_catalog_counts	gate	analysis/vgp_phase1_freeze_provenance.json	PASS		no unresolved source-count discrepancies	analysis/vgp_phase1_freeze_provenance.json	The frozen catalog matches the promoted source-count contract.
selected_manifest_rows	gate	analysis/vgp_pilot_manifest.tsv	FAIL	0	>0 selected rows and <=6 rows	analysis/vgp_pilot_manifest.tsv	No rows were selected for the bounded pilot.
composition_ready_rows	gate	analysis/vgp_pilot_manifest.tsv	PASS	6	>0 composition-ready rows	analysis/vgp_pilot_manifest.tsv	At least one manifest row independently satisfied the exact H1/native-annotation/denominator contract.
diversity_ready_rows	gate	analysis/vgp_pilot_manifest.tsv	FAIL	0	>0 diversity-ready rows	analysis/vgp_pilot_manifest.tsv	No manifest row independently satisfied paired same-individual diversity requirements.
quota_interface	storage	analysis/vgp_data_root_validation.json	FAIL	unknown	reported	analysis/vgp_data_root_validation.json	Filesystem free space existed, but no exact user-visible quota interface was available, so the gate failed closed.
slurm_terminal_state	execution	analysis/vgp_pilot_slurm_telemetry.tsv	PASS	NOT_SUBMITTED	NOT_SUBMITTED	analysis/vgp_pilot_slurm_telemetry.tsv	The refusal path preserved a single terminal summary state and no job IDs.
network_in_arrays	execution	analysis/vgp_pilot_slurm_telemetry.tsv	PASS	slurm_job_id=none; sbatch_command=none	no arrays launched	analysis/vgp_pilot_slurm_telemetry.tsv; analysis/vgp_pilot_run_manifest.tsv	No Slurm array was submitted, so no network activity could have occurred inside arrays.
cap_overrun	execution	analysis/vgp_pilot_gate.json	PASS	observed aggregate usage stayed at zero across refusal telemetry	no gate dimension exceeded	analysis/vgp_pilot_gate.json; analysis/vgp_pilot_slurm_telemetry.tsv	The NO_GO refusal prevented any aggregate CPU, wall, scratch, I/O, or metadata usage from crossing the cap vector.
scientific_validity	scientific_validity	analysis/vgp_pilot_manifest.tsv	PASS	composition_ready=6; diversity_ready=0; row_issue_count=0	>0 composition-ready rows; diversity readiness reviewed separately and never imputed	analysis/vgp_pilot_manifest.tsv; analysis/vgp_pilot_gate.json	The promoted manifest supports the composition-only scope; zero diversity-ready rows remain an explicit separate refusal and no diversity result is imputed.
guix_analysis_suite	reproducibility	analysis/validate_tier3_guix.sh	PASS	PASS	PASS	analysis/validate_tier3_guix.sh; analysis/pilot_results/guix_environment.json	Authorized Slurm job 1781364 on octopus07 passed 332 analysis tests under pinned profile /gnu/store/z9v2f6faha9cwjz0sm5iphhlzisgi077-profile on July 18, 2026 UTC.
compute_smoke_identity	reproducibility	analysis/pilot_results/compute_smoke.json	PASS	login=/gnu/store/z9v2f6faha9cwjz0sm5iphhlzisgi077-profile; compute=/gnu/store/z9v2f6faha9cwjz0sm5iphhlzisgi077-profile	/gnu/store/z9v2f6faha9cwjz0sm5iphhlzisgi077-profile	analysis/pilot_results/compute_smoke.json; analysis/pilot_results/guix_environment.json	The promoted compute smoke profile matched the pinned Guix environment profile.
