check_id	category	subject	decision	observed	expected	evidence	notes
refusal:altered_retrieval_obligation	authorization_mutation	altered_retrieval_obligation	PASS	acquire=RETRIEVAL_CONTRACT_MISMATCH; run=BOUND_DIGEST_MISMATCH; provider_calls=0; submit_calls=0	refused_preflight/NOT_SUBMITTED with zero acquisition and submission calls	analysis/acquire_vgp_pilot.py; analysis/run_vgp_pilot.py	Both authorization boundaries were exercised locally with fail-if-called spies.
promoted_file_sha256	immutability	bound local artifacts	PASS	gate_file_sha256=fc284eb617aadc6af4d348beaf47377df55fc4798c5e1460583dc6b9ef7115d6;manifest_sha256=b7cbe6cf22287d58dae9e270a81dee2970aaa3d8c73a2270323fa6210b276988;acquisition_manifest_sha256=55c8270abe62d6508898f89e4f66b24f338ede8fbc5d8aa9b1593104ce581d88;immutable_inventory_sha256=f8d835008801cb32b0a4cc75990cfad4642d5e0f62bcb27df1c3814fd399a248;root_config_sha256=912e47c66eeacaf8db3ff535fb857b296eb890d56e2ba0f38af3fdeb4ec12989;sweepga_build_sha256=ead0fc6bf770f573a3ca8f2532f04c57a4653a9248e31963b564971221f78e36;impg_handoff_sha256=ff088828a3dc7336beec4e727fa7598840ec0f8b1234758f64f4480319364b61;worker_sha256=5123e25783c511cacdbd43425365a0f02131c29e397cb091040fbdf31dead90e	run-summary SHA-256 values	analysis/vgp_pilot_run_manifest.tsv:2	All promoted control/ledger files still hash to the exact values bound into the refusal summary.
immutable_biological_inventory	immutability	promoted biological objects	PASS	0	0	analysis/vgp_pilot_immutable_object_inventory.tsv	No local biological SHA-256 can be claimed for a run refused before acquisition.
identity:camelus_dromedarius_gca_036321535_1	identity_and_annotation	camelus_dromedarius_gca_036321535_1	PASS	taxon=Camelus dromedarius|9838; H1=GCF_036321535.1; annotation_ref=GCF_036321535.1; BioSample=SAMN39296380; individual=mCamDro1	exact taxon/version; official native H1 annotation; matching BioSample/individual	analysis/vgp_pilot_manifest.tsv:2; analysis/vgp_pilot_gate.json	The metadata obligation is exact and internally linked; no biological object was acquired.
identity:colius_striatus_gca_028858725_2	identity_and_annotation	colius_striatus_gca_028858725_2	PASS	taxon=Colius striatus|57412; H1=GCF_028858725.1; annotation_ref=GCF_028858725.1; BioSample=SAMN33339572; individual=bColStr4	exact taxon/version; official native H1 annotation; matching BioSample/individual	analysis/vgp_pilot_manifest.tsv:3; analysis/vgp_pilot_gate.json	The metadata obligation is exact and internally linked; no biological object was acquired.
identity:candoia_aspera_gca_035149785_1	identity_and_annotation	candoia_aspera_gca_035149785_1	PASS	taxon=Candoia aspera|51853; H1=GCF_035149785.1; annotation_ref=GCF_035149785.1; BioSample=SAMN37159891; individual=rCanAsp1	exact taxon/version; official native H1 annotation; matching BioSample/individual	analysis/vgp_pilot_manifest.tsv:4; analysis/vgp_pilot_gate.json	The metadata obligation is exact and internally linked; no biological object was acquired.
identity:dendropsophus_ebraccatus_gca_027789765_1	identity_and_annotation	dendropsophus_ebraccatus_gca_027789765_1	PASS	taxon=Dendropsophus ebraccatus|150705; H1=GCF_027789765.1; annotation_ref=GCF_027789765.1; BioSample=SAMN32145295; individual=aDenEbr1	exact taxon/version; official native H1 annotation; matching BioSample/individual	analysis/vgp_pilot_manifest.tsv:5; analysis/vgp_pilot_gate.json	The metadata obligation is exact and internally linked; no biological object was acquired.
identity:lepisosteus_oculatus_gca_040954835_1	identity_and_annotation	lepisosteus_oculatus_gca_040954835_1	PASS	taxon=Lepisosteus oculatus|7918; H1=GCF_040954835.1; annotation_ref=GCF_040954835.1; BioSample=SAMN41155427; individual=fLepOcu1	exact taxon/version; official native H1 annotation; matching BioSample/individual	analysis/vgp_pilot_manifest.tsv:6; analysis/vgp_pilot_gate.json	The metadata obligation is exact and internally linked; no biological object was acquired.
identity:heterodontus_francisci_gca_036365525_1	identity_and_annotation	heterodontus_francisci_gca_036365525_1	PASS	taxon=Heterodontus francisci|7792; H1=GCF_036365525.1; annotation_ref=GCF_036365525.1; BioSample=SAMN39432692; individual=sHetFra1	exact taxon/version; official native H1 annotation; matching BioSample/individual	analysis/vgp_pilot_manifest.tsv:7; analysis/vgp_pilot_gate.json	The metadata obligation is exact and internally linked; no biological object was acquired.
tier3a_pair_evidence_disposition	identity_and_annotation	six linked assembly pairs	PASS	tier3a_ready=0; linked_H2_leads=6; validated_phased_pairs=0	no Tier3A/diploid inference from composition-only linkage	analysis/vgp_pilot_gate.json; analysis/vgp_pilot_manifest.tsv:2-7	Shared BioSample/isolate assembly metadata is retained, while same-individual/phasing proof is explicitly not applicable and unclaimed.
executed_scientific_rows	scientific_results	SweepGA/IMPG/VCF/BCF outputs	PASS	executed_rows=0; result_summary=excluded; denominators=not measured; VCF/BCF=not produced	refusal preserved without imputation	analysis/vgp_pilot_results.tsv:2; analysis/vgp_pilot_exclusions.tsv:2-5	Dormant smoke/build artifacts are not attributed to this refused pilot.
dormant_sweepga_impg_contracts	scientific_results	pre-existing toolchain smoke evidence	PASS	SweepGA=fa7f0edb9b7e275c288db254046020e136d4267dd5ee043379227ef80da0573b; native_annotation=true; mapping_depth=1:1	reproducible native SweepGA and exact-H1 native IMPG handoff contract	analysis/sweepga_origin_main_build.json; analysis/sweepga_impg_observed.json	These are dormant preconditions only and are not attributed as repaired-pilot outputs.
slurm_terminal_zero_network	execution	attributable Slurm jobs	PASS	job_ids=0; final_state=NOT_SUBMITTED; network_bytes=0	all attributable jobs terminal and no compute-node retrieval	analysis/vgp_pilot_slurm_telemetry.tsv:2	There are no jobs to calibrate; NOT_SUBMITTED is a terminal refusal state.
cap_compliance:aggregate_wall_hours	caps	aggregate_wall_hours	PASS	0	17.5	analysis/vgp_pilot_gate.json; analysis/vgp_pilot_slurm_telemetry.tsv:2	Execution use stayed at zero. The strict gate limit was not exceeded by execution.
cap_compliance:compressed_inputs_gib	caps	compressed_inputs_gib	PASS	0	120	analysis/vgp_pilot_gate.json; analysis/vgp_pilot_slurm_telemetry.tsv:2	Execution use stayed at zero. The strict gate limit was not exceeded by execution.
cap_compliance:concurrent_species	caps	concurrent_species	PASS	0	2	analysis/vgp_pilot_gate.json; analysis/vgp_pilot_slurm_telemetry.tsv:2	Execution use stayed at zero. The strict gate limit was not exceeded by execution.
cap_compliance:core_hours	caps	core_hours	PASS	0	280	analysis/vgp_pilot_gate.json; analysis/vgp_pilot_slurm_telemetry.tsv:2	Execution use stayed at zero. The strict gate limit was not exceeded by execution.
cap_compliance:cpus_per_element	caps	cpus_per_element	PASS	0	8	analysis/vgp_pilot_gate.json; analysis/vgp_pilot_slurm_telemetry.tsv:2	Execution use stayed at zero. The strict gate limit was not exceeded by execution.
cap_compliance:file_inodes	caps	file_inodes	PASS	0	60000	analysis/vgp_pilot_gate.json; analysis/vgp_pilot_slurm_telemetry.tsv:2	Execution use stayed at zero. The strict gate limit was not exceeded by execution.
cap_compliance:memory_per_job_gib	caps	memory_per_job_gib	PASS	0	96	analysis/vgp_pilot_gate.json; analysis/vgp_pilot_slurm_telemetry.tsv:2	Execution use stayed at zero. The strict gate limit was not exceeded by execution.
cap_compliance:metadata_operations	caps	metadata_operations	PASS	0	500000	analysis/vgp_pilot_gate.json; analysis/vgp_pilot_slurm_telemetry.tsv:2	Execution use stayed at zero. The strict gate limit was not exceeded by execution.
cap_compliance:moosefs_read_gb	caps	moosefs_read_gb	PASS	0	180	analysis/vgp_pilot_gate.json; analysis/vgp_pilot_slurm_telemetry.tsv:2	Execution use stayed at zero. The six-row estimate exceeded this strict cap and correctly forced refusal.
cap_compliance:moosefs_write_gb	caps	moosefs_write_gb	PASS	0	200	analysis/vgp_pilot_gate.json; analysis/vgp_pilot_slurm_telemetry.tsv:2	Execution use stayed at zero. The strict gate limit was not exceeded by execution.
cap_compliance:peak_bandwidth_mib_s	caps	peak_bandwidth_mib_s	PASS	0	120	analysis/vgp_pilot_gate.json; analysis/vgp_pilot_slurm_telemetry.tsv:2	Execution use stayed at zero. The strict gate limit was not exceeded by execution.
cap_compliance:persistent_input_gb	caps	persistent_input_gb	PASS	0	160	analysis/vgp_pilot_gate.json; analysis/vgp_pilot_slurm_telemetry.tsv:2	Execution use stayed at zero. The strict gate limit was not exceeded by execution.
cap_compliance:persistent_output_gb	caps	persistent_output_gb	PASS	0	32	analysis/vgp_pilot_gate.json; analysis/vgp_pilot_slurm_telemetry.tsv:2	Execution use stayed at zero. The strict gate limit was not exceeded by execution.
cap_compliance:scratch_gib	caps	scratch_gib	PASS	0	139.698386192	analysis/vgp_pilot_gate.json; analysis/vgp_pilot_slurm_telemetry.tsv:2	Execution use stayed at zero. The six-row estimate exceeded this strict cap and correctly forced refusal.
cap_compliance:species	caps	species	PASS	0	6	analysis/vgp_pilot_gate.json; analysis/vgp_pilot_slurm_telemetry.tsv:2	Execution use stayed at zero. The strict gate limit was not exceeded by execution.
quota_allocation_headroom	storage	/moosefs/erikg/lewontin-paradox-data/vgp/phase1-freeze-1.0	PASS	allocation=unknown; headroom_pass=False; executed_bytes=0	unknown allocation must refuse; >=25% enforceable headroom required before GO	analysis/vgp_pilot_gate.json; analysis/vgp_data_root_validation.json	The gate did not confuse filesystem free space with an enforceable user allocation.
guix_derivation_identity	reproducibility	pinned GNU Guix profile	PASS	/gnu/store/x7vw3qvf5yxsff7x5cjhxs713m90ni6n-profile.drv -> /gnu/store/z9v2f6faha9cwjz0sm5iphhlzisgi077-profile	exact channel/manifest/environment digests and /gnu/store derivation identity	analysis/pilot_results/guix_environment.json; analysis/guix/channels.scm; analysis/guix/manifest.scm	The login/compute contract remains pinned even though no VGP job used it.
guix_login_compute_identity	reproducibility	pre-existing compute smoke	PASS	login=/gnu/store/z9v2f6faha9cwjz0sm5iphhlzisgi077-profile; compute=/gnu/store/z9v2f6faha9cwjz0sm5iphhlzisgi077-profile	/gnu/store/z9v2f6faha9cwjz0sm5iphhlzisgi077-profile	analysis/pilot_results/compute_smoke.json; analysis/pilot_results/guix_environment.json	This prior smoke verifies profile identity only; its Slurm job is not attributable to the refused repaired pilot.
guix_full_analysis_tests	reproducibility	pinned full analysis suite	PASS	PASS	PASS	analysis/slurm/guix_job.sh; analysis/pilot_results/guix_environment.json	Recorded pinned GNU Guix profile: full analysis suite passed (240 tests); local refusal matrix made zero downloader/submitter calls.
demography_join:camelus_dromedarius_gca_036321535_1	demography	camelus_dromedarius_gca_036321535_1	PASS	PSMC=no;MSMC2=no;SMC++=no; valid_independent_Ne=6; populations=Awarik;Haddana;Majaheem;Sahliah;Shul;Sofor; circular_exclusions=1	exact taxon/reference/BioSample/individual; method-specific eligibility; one circular exclusion	analysis/vgp_demography_input_audit.tsv:2; analysis/vgp_independent_ne_sources.tsv	VGP H1/H2 remains assembly metadata, not a demographic genotype dataset. Independent populations are retained separately and never collapsed onto the VGP individual.
demography_join:colius_striatus_gca_028858725_2	demography	colius_striatus_gca_028858725_2	PASS	PSMC=no;MSMC2=no;SMC++=no; valid_independent_Ne=0; populations=none; circular_exclusions=1	exact taxon/reference/BioSample/individual; method-specific eligibility; one circular exclusion	analysis/vgp_demography_input_audit.tsv:3; analysis/vgp_independent_ne_sources.tsv	VGP H1/H2 remains assembly metadata, not a demographic genotype dataset. Independent populations are retained separately and never collapsed onto the VGP individual.
demography_join:candoia_aspera_gca_035149785_1	demography	candoia_aspera_gca_035149785_1	PASS	PSMC=no;MSMC2=no;SMC++=no; valid_independent_Ne=0; populations=none; circular_exclusions=1	exact taxon/reference/BioSample/individual; method-specific eligibility; one circular exclusion	analysis/vgp_demography_input_audit.tsv:4; analysis/vgp_independent_ne_sources.tsv	VGP H1/H2 remains assembly metadata, not a demographic genotype dataset. Independent populations are retained separately and never collapsed onto the VGP individual.
demography_join:dendropsophus_ebraccatus_gca_027789765_1	demography	dendropsophus_ebraccatus_gca_027789765_1	PASS	PSMC=no;MSMC2=no;SMC++=no; valid_independent_Ne=0; populations=none; circular_exclusions=1	exact taxon/reference/BioSample/individual; method-specific eligibility; one circular exclusion	analysis/vgp_demography_input_audit.tsv:5; analysis/vgp_independent_ne_sources.tsv	VGP H1/H2 remains assembly metadata, not a demographic genotype dataset. Independent populations are retained separately and never collapsed onto the VGP individual.
demography_join:lepisosteus_oculatus_gca_040954835_1	demography	lepisosteus_oculatus_gca_040954835_1	PASS	PSMC=no;MSMC2=no;SMC++=no; valid_independent_Ne=0; populations=none; circular_exclusions=1	exact taxon/reference/BioSample/individual; method-specific eligibility; one circular exclusion	analysis/vgp_demography_input_audit.tsv:6; analysis/vgp_independent_ne_sources.tsv	VGP H1/H2 remains assembly metadata, not a demographic genotype dataset. Independent populations are retained separately and never collapsed onto the VGP individual.
demography_join:heterodontus_francisci_gca_036365525_1	demography	heterodontus_francisci_gca_036365525_1	PASS	PSMC=no;MSMC2=no;SMC++=no; valid_independent_Ne=0; populations=none; circular_exclusions=1	exact taxon/reference/BioSample/individual; method-specific eligibility; one circular exclusion	analysis/vgp_demography_input_audit.tsv:7; analysis/vgp_independent_ne_sources.tsv	VGP H1/H2 remains assembly metadata, not a demographic genotype dataset. Independent populations are retained separately and never collapsed onto the VGP individual.
demography_method_separation	demography	six repaired candidates	PASS	PSMC=no, MSMC2=no, SMC++=no for 6/6 exact candidates	eligibility evaluated independently for each method	analysis/vgp_demography_input_audit.tsv:2	A linked assembly haplotype cannot satisfy any method's distinct sample, mask, phasing, or genotype contract.
independent_ne_and_circularity	demography	independent predictor inventory	PASS	6 valid LD-Ne records for Camelus dromedarius; 6/6 same-response pi/(4mu) policy rows excluded	independent predictor differs in animals/project and is non-circular; same-response derivations excluded	analysis/vgp_independent_ne_sources.tsv:2	Historical PSMC, incomplete secondary Nb, coalescent-scaled theta, census, and population structure remain separate classes.
