budget_version	row_type	stage_or_dataset	cohort_definition	species_count	scenario	genome_h1_gbp	contig_count	annotation_uncompressed_gb	mapping_records_thousands	callable_fraction	cpus_per_element	concurrency_cap	core_hours	peak_resident_or_requested_memory_gib_per_element	wall_hours_per_element	catalog_or_stage_wall_hours	local_scratch_peak_gb	persistent_input_gb	persistent_output_gb	temporary_amplification_x	file_inode_count	moosefs_read_gb	moosefs_write_gb	metadata_operations	peak_aggregate_bandwidth_mib_s	measurement_status	formula_or_source	uncertainty_and_pilot_resolution
plan-v1	estimate	tier3a_full_candidate_pool	40 reported completed+annotated+paired across vertebrates	40	low	0.5	50	0.25	0.8	0.60	8	4	18	32	0.056	0.56	12	64	6	2	30000	50	80	200000	50	planning_bound	CH=8*k*(0.033+0.083*G+0.067*max(0,M-1))*Fcontig*Fannotation*Fcallable;catalog sum	All 40 are reported not verified; totals are scenario envelopes
plan-v1	estimate	tier3a_full_candidate_pool	40 reported completed+annotated+paired across vertebrates	40	base	1.2	500	0.60	2.0	0.40	8	10	88	64	0.275	1.10	75	160	20	3	60000	125	180	800000	120	planning_bound	k=1.25;Fcontig=1.10;Fannotation=1.00;Fcallable=1.00;rounded catalog sum	Concurrency requires 640 GiB aggregate requested memory and local staging
plan-v1	estimate	tier3a_full_candidate_pool	40 reported completed+annotated+paired across vertebrates	40	high	3.5	5000	2.0	5.0	0.10	8	10	1388	96	4.34	17.35	375	800	160	5	200000	750	1000	3000000	200	planning_bound	k=2.5;Fcontig=1.5;Fannotation=1.3;Fcallable=1.5;rounded catalog sum	High bound is not quota request; pilot must refit before authorization
plan-v1	estimate	tier3c_full_candidate_pool	120 reported completed+annotation all taxa	120	low	0.5	50	0.25	NA	NA	2	16	6	2	0.025	0.19	12	72	1	1.5	15000	72	2	50000	40	planning_bound	135-row telemetry lower quartile rounded	Tier3C assets overlap Tier3A and must be deduplicated by checksum
plan-v1	estimate	tier3c_full_candidate_pool	120 reported completed+annotation all taxa	120	base	1.2	500	0.60	NA	NA	2	16	16.2	4	0.0675	0.51	36	240	3	2	40000	240	5	150000	80	planning_bound	135-row observed mean 0.135 core-hour per species	120 count reported but row list unavailable
plan-v1	estimate	tier3c_full_candidate_pool	120 reported completed+annotation all taxa	120	high	3.5	5000	2.0	NA	NA	2	16	64	16	0.266	2.0	120	900	12	4	120000	900	20	600000	120	planning_bound	135-row observed maximum 0.532 core-hour per species	Large-annotation and fragmented-genome sensitivity; pilot refits
plan-v1	estimate	full_catalog_combined	inventory plus 40 Tier3A plus 120 Tier3C with checksum deduplication	120	low	MIXED	MIXED	MIXED	MIXED	MIXED	MIXED	MIXED	28	128_aggregate_Tier3A	NA	0.8	24	120	8	2	45000	123	83	255000	50	planning_bound	inventory+Tier3A+Tier3C;deduplicated persistent input	Not authorized; reported cohort sizes only
plan-v1	estimate	full_catalog_combined	inventory plus 40 Tier3A plus 120 Tier3C with checksum deduplication	120	base	MIXED	MIXED	MIXED	MIXED	MIXED	MIXED	MIXED	116.2	640_aggregate_Tier3A	NA	1.7	111	400	25	3	100000	370	190	970000	120	planning_bound	inventory+Tier3A+Tier3C;deduplicated persistent input	Add 25 percent quota headroom: 500 GB persistent and 140 GB local scratch reservation
plan-v1	estimate	full_catalog_combined	inventory plus 40 Tier3A plus 120 Tier3C with checksum deduplication	120	high	MIXED	MIXED	MIXED	MIXED	MIXED	MIXED	MIXED	1482	960_aggregate_Tier3A	NA	19.4	495	1500	172	5	320000	1670	1020	3680000	200	planning_bound	inventory+Tier3A+Tier3C;deduplicated persistent input	Do not reserve or execute from this bound; re-estimate from pilot and reviewed waves
plan-v1	stage_estimate	stage_assets_per_species	one Tier3A H1+H2+GFF tuple	1	low	0.5	50	0.25	NA	NA	1	2	0.02	2	0.02	0.02	3	1.6	0.01	2	100	1	1.6	500	25	planning_bound	one verified remote transfer plus local hash and immutable promotion	Provider compression and network behavior unresolved
plan-v1	stage_estimate	stage_assets_per_species	one Tier3A H1+H2+GFF tuple	1	base	1.2	500	0.60	NA	NA	1	2	0.10	4	0.10	0.10	7.5	4	0.02	3	150	2.5	4	1000	50	planning_bound	two-download global cap; source_bytes*1.6 persistent	Pilot measures remote and MooseFS bytes separately
plan-v1	stage_estimate	stage_assets_per_species	one Tier3A H1+H2+GFF tuple	1	high	3.5	5000	2.0	NA	NA	1	2	0.50	8	0.50	0.50	37.5	20	0.05	5	500	12.5	20	5000	100	planning_bound	large fragmented asset envelope	Stop rather than exceed authorized row byte envelope
plan-v1	stage_estimate	exact_preflight_per_species	one staged tuple	1	low	0.5	50	0.25	NA	0.60	1	4	0.02	2	0.02	0.02	0.2	0	0.002	1.2	100	1.6	0.01	1000	10	planning_bound	sequence dictionary annotation and checksum validation	CPU efficiency and cache behavior unresolved
plan-v1	stage_estimate	exact_preflight_per_species	one staged tuple	1	base	1.2	500	0.60	NA	0.40	1	4	0.05	4	0.05	0.05	0.5	0	0.005	1.5	300	4	0.02	3000	20	planning_bound	full contig map and CDS reconstruction audit	Pilot measures inode and metadata amplification
plan-v1	stage_estimate	exact_preflight_per_species	one staged tuple	1	high	3.5	5000	2.0	NA	0.10	1	4	0.20	8	0.20	0.20	2	0	0.02	2	1000	20	0.1	15000	40	planning_bound	fragmented dictionary and large annotation sensitivity	Reference mismatch is rejection not retry
plan-v1	stage_estimate	sweepga_mapping_per_species	one Tier3A tuple	1	low	0.5	50	0.25	0.8	0.60	8	4	0.35	32	0.044	0.044	3	0	0.10	2	150	1.2	0.2	1000	40	planning_bound	three-species lower normalized envelope	Actual RSS and scratch peak unresolved B07
plan-v1	stage_estimate	sweepga_mapping_per_species	one Tier3A tuple	1	base	1.2	500	0.60	2.0	0.40	8	10	1.40	64	0.175	0.175	7.5	0	0.30	3	500	2.5	0.6	5000	80	planning_bound	provisional wall formula with base factors	Mapping-record count becomes measured covariate after run
plan-v1	stage_estimate	sweepga_mapping_per_species	one Tier3A tuple	1	high	3.5	5000	2.0	5.0	0.10	8	10	25	96	3.125	3.125	37.5	0	3	5	3000	12.5	6	50000	120	planning_bound	large high-multiplicity upper envelope	Outlier lane only after reviewed pilot refit
plan-v1	stage_estimate	impg_index_partition_query_per_species	one Tier3A tuple	1	low	0.5	50	0.25	0.8	0.60	8	4	0.05	8	0.0063	0.0063	1	0	0.10	2	500	0.3	0.2	3000	30	planning_bound	bounded PAF plus selected native partitions	Stage split was not separately timed in completed run
plan-v1	stage_estimate	impg_index_partition_query_per_species	one Tier3A tuple	1	base	1.2	500	0.60	2.0	0.40	8	10	0.40	24	0.05	0.05	3	0	0.20	3	1500	1	0.4	15000	60	planning_bound	mapping and annotation covariate sensitivity	Pilot instruments index partition query and lace separately
plan-v1	stage_estimate	impg_index_partition_query_per_species	one Tier3A tuple	1	high	3.5	5000	2.0	5.0	0.10	8	10	6	64	0.75	0.75	15	0	1	5	10000	5	2	100000	100	planning_bound	many mappings partitions and selected regions	Zero emitted regional VCF is scientific failure
plan-v1	stage_estimate	denominator_summary_per_species	one Tier3A tuple	1	low	0.5	50	0.25	0.8	0.60	2	8	0.03	4	0.015	0.015	0.2	0	0.02	1.2	300	0.2	0.03	1000	10	planning_bound	CDS/fourfold classification and block bootstrap	Bootstrap stage timing not isolated in calibration
plan-v1	stage_estimate	denominator_summary_per_species	one Tier3A tuple	1	base	1.2	500	0.60	2.0	0.40	2	8	0.15	8	0.075	0.075	0.5	0	0.05	1.5	1000	0.5	0.08	5000	20	planning_bound	1000 genomic block replicates	Callable fraction and target rows are model covariates
plan-v1	stage_estimate	denominator_summary_per_species	one Tier3A tuple	1	high	3.5	5000	2.0	5.0	0.10	2	8	1.5	16	0.75	0.75	2	0	0.2	2	5000	2	0.3	30000	40	planning_bound	large target and many block sensitivity	Pilot may reduce concurrency not bootstrap count
plan-v1	stage_estimate	tier3c_composition_per_species	one exact-H1 native annotation tuple	1	low	0.5	50	0.25	NA	NA	2	16	0.05	2	0.025	0.025	0.1	0	0.005	1.2	100	0.3	0.01	500	10	planning_bound	135-row observed lower envelope rounded	Input/read metrics absent from historical telemetry
plan-v1	stage_estimate	tier3c_composition_per_species	one exact-H1 native annotation tuple	1	base	1.2	500	0.60	NA	NA	2	16	0.135	4	0.0675	0.0675	0.3	0	0.02	1.5	300	1	0.03	2000	20	planning_bound	135-row observed mean core-hours and mean RSS rounded	Genome and annotation covariates refit in pilot
plan-v1	stage_estimate	tier3c_composition_per_species	one exact-H1 native annotation tuple	1	high	3.5	5000	2.0	NA	NA	2	16	0.532	16	0.266	0.266	1	0	0.10	4	1000	5	0.2	10000	40	planning_bound	135-row observed maximum core-hours and RSS	Historical batch spans taxa and is only a bound
