manifest_version	estimand	stratum	status	numerator	denominator	estimate	ci_lower	ci_upper	unit	uncertainty_method	reason_or_interpretation	analysis_slurm_job_id
direct-gene-conversion-pilot-v1.0.0	D_EVT_RATE_PER_BASE	non-crossover	NOT_ESTIMABLE_INPUT_GATE	NOT_ESTIMABLE_RAW_EVIDENCE_AND_CALLABILITY_GATE	callable base-meiosis unavailable	NOT_ESTIMABLE_RAW_EVIDENCE_AND_CALLABILITY_GATE	NOT_ESTIMABLE_RAW_EVIDENCE_AND_CALLABILITY_GATE	NOT_ESTIMABLE_RAW_EVIDENCE_AND_CALLABILITY_GATE	validated events/callable bp/meiosis	Poisson interval not computable	TAIR10 span and marker list are not callable base-meiosis denominators	1781172
direct-gene-conversion-pilot-v1.0.0	D_TRACT_LENGTH	all	NOT_ESTIMABLE_INPUT_GATE	58 published interval-censored candidates excluded	0 validated tracts	NOT_ESTIMABLE_RAW_EVIDENCE_AND_CALLABILITY_GATE	NOT_ESTIMABLE_RAW_EVIDENCE_AND_CALLABILITY_GATE	NOT_ESTIMABLE_RAW_EVIDENCE_AND_CALLABILITY_GATE	bp	Turnbull/interval-censored distribution not fit	published inner/outer bounds retained row-wise; validation gate prevents promotion	1781172
direct-gene-conversion-pilot-v1.0.0	D_CO_ASSOCIATION	near/overlap CO	NOT_ESTIMABLE_INPUT_GATE	44 published CO-associated candidates excluded	matched callable near-CO and non-CO opportunity unavailable	NOT_ESTIMABLE_RAW_EVIDENCE_AND_CALLABILITY_GATE	NOT_ESTIMABLE_RAW_EVIDENCE_AND_CALLABILITY_GATE	NOT_ESTIMABLE_RAW_EVIDENCE_AND_CALLABILITY_GATE	rate ratio/odds ratio	permutation/model not run	no callable matched opportunity or CO uncertainty model across all 13 tetrads	1781172
direct-gene-conversion-pilot-v1.0.0	D_GCBIAS	published simple W/S candidate markers	NOT_ESTIMABLE_POWER_AND_INPUT_GATE	S=45;W=37;ambiguous_or_nonSNV=1	0 validated informative event clusters	NOT_ESTIMABLE_RAW_EVIDENCE_AND_CALLABILITY_GATE	NOT_ESTIMABLE_RAW_EVIDENCE_AND_CALLABILITY_GATE	NOT_ESTIMABLE_RAW_EVIDENCE_AND_CALLABILITY_GATE	Pr(S resolution)	event-cluster exact/bootstrap interval not computable	published marker tally is an audit only; linked markers are not independent and reciprocal WS/SW detection is uncalibrated; threshold 100 sites/50 meioses not met	1781172
direct-gene-conversion-pilot-v1.0.0	FALSE_DISCOVERY_RATE	passing direct-event class	NOT_ESTIMABLE_INPUT_GATE	no empirical null simulation	no raw-derived error/callability map	NOT_ESTIMABLE_RAW_EVIDENCE_AND_CALLABILITY_GATE	NOT_ESTIMABLE_RAW_EVIDENCE_AND_CALLABILITY_GATE	NOT_ESTIMABLE_RAW_EVIDENCE_AND_CALLABILITY_GATE	FDR	Mendelian tetrad simulation not run	genotyping, phasing, mapping, de novo, CO, rearrangement, copy, and paralog errors cannot be parameterized	1781172
direct-gene-conversion-pilot-v1.0.0	FALSE_NEGATIVE_RATE	tract length x marker density	NOT_ESTIMABLE_INPUT_GATE	no recovered spike-ins	no injected events on empirical raw callability map	NOT_ESTIMABLE_RAW_EVIDENCE_AND_CALLABILITY_GATE	NOT_ESTIMABLE_RAW_EVIDENCE_AND_CALLABILITY_GATE	NOT_ESTIMABLE_RAW_EVIDENCE_AND_CALLABILITY_GATE	FNR	spike-in sensitivity not run	reciprocal WS/SW, tract-length, marker-density, and depth sensitivities unavailable	1781172
direct-gene-conversion-pilot-v1.0.0	SENSITIVITY_ANALYSES	phasing/mapping/tract/paralog/ascertainment	NOT_RUN_UPSTREAM_GATE	0	five required sensitivity families	NOT_ESTIMABLE_RAW_EVIDENCE_AND_CALLABILITY_GATE	NOT_ESTIMABLE_RAW_EVIDENCE_AND_CALLABILITY_GATE	NOT_ESTIMABLE_RAW_EVIDENCE_AND_CALLABILITY_GATE	analysis families	not applicable	each remains an explicit gate; the five-high-depth-only exact tract ascertainment is documented	1781172
direct-gene-conversion-pilot-v1.0.0	INDEPENDENT_REVIEW	all 58 published candidates	TABLE_RECONCILIATION_ONLY	58 structurally reconciled	58 published candidates	58	58	58	candidate rows	independent parser/table consistency checks	not blinded/manual raw-evidence review; all remain excluded	1781172
direct-gene-conversion-pilot-v1.0.0	POPULATION_FREQUENCY_GBGC	out of scope	NOT_MEASURED	NOT_MEASURED	NOT_MEASURED	NOT_MEASURED	NOT_MEASURED	NOT_MEASURED	population B/SFS	not applicable	population-frequency summaries are not direct events	1781172
direct-gene-conversion-pilot-v1.0.0	HISTORICAL_PHYLOGENETIC_GBGC	out of scope	NOT_MEASURED	NOT_MEASURED	NOT_MEASURED	NOT_MEASURED	NOT_MEASURED	NOT_MEASURED	branch substitution bias	not applicable	phylogenetic substitutions are not direct events	1781172
direct-gene-conversion-pilot-v1.0.0	NON_ALLELIC_CONVERSION	paralogs/segmental duplications	NOT_MEASURED	NOT_MEASURED	NOT_MEASURED	NOT_MEASURED	NOT_MEASURED	NOT_MEASURED	non-allelic events	not applicable	candidates lacking copy/paralog exclusion cannot enter the allelic estimate	1781172
direct-gene-conversion-pilot-v1.0.0	CROSS_VERTEBRATE_TRANSFER	VGP sensitivity prior	NOT_MEASURED	NOT_MEASURED	NOT_MEASURED	NOT_MEASURED	NOT_MEASURED	NOT_MEASURED	bounded sensitivity prior	not applicable	no Arabidopsis direct estimate was validated; no cross-species transfer is supplied	1781172
