panel_id	qc_id	category	requirement	observed	threshold	status	excluded_bases	excluded_fraction	reason_code	evidence	preflight_slurm_job_id
H01	G09_H_GBGC_COUNTS	estimand	total directionally informative substitutions	NOT_ESTIMABLE_NO_BRANCH_ASSIGNMENTS	>=100	FAIL	NOT_ESTIMABLE_NO_ALIGNMENT	NOT_ESTIMABLE_NO_ALIGNMENT	NO_BRANCH_ASSIGNMENTS	H_GBGC preregistration	1781129
H01	G10_H_CLUSTER_CALLABILITY	estimand	branch-polarized WS substitutions and continuous callable sequence	NOT_ESTIMABLE_WS; 0 callable bp	>=50 WS and >=20000000 bp	FAIL	NOT_ESTIMABLE_NO_ALIGNMENT	NOT_ESTIMABLE_NO_ALIGNMENT	NO_BRANCH_ASSIGNMENTS	H_CLUSTER preregistration	1781129
H01	G11_FRAGMENTATION_MISSINGNESS	assembly	reason-coded aligned/callable/excluded bases by assembly and gap	metadata contig counts only; no callable denominator	all taxa and partitions	NOT_EVALUABLE	NOT_ESTIMABLE_NO_ALIGNMENT	NOT_ESTIMABLE_NO_ALIGNMENT	NO_ALIGNMENT_FOR_MISSINGNESS_MODEL	clade manifest	1781129
H01	C01_LABEL_SHUFFLE	negative_control	branch/taxon label shuffling	NOT_RUN	required before interpretation	NOT_RUN_UPSTREAM_GATE	NOT_ESTIMABLE_NO_ALIGNMENT	NOT_ESTIMABLE_NO_ALIGNMENT	UPSTREAM_INPUT_GATE	pre-registered control	1781129
H01	C02_NULL_SIMULATION	negative_control	parametric nonstationary null with empirical gaps/GC/branch lengths	NOT_RUN	required before interpretation	NOT_RUN_UPSTREAM_GATE	NOT_ESTIMABLE_NO_ALIGNMENT	NOT_ESTIMABLE_NO_ALIGNMENT	UPSTREAM_INPUT_GATE	pre-registered control	1781129
H01	C03_ALTERNATE_OUTGROUP	polarization	each outgroup separately and agreement analysis	NOT_RUN	required before interpretation	NOT_RUN_UPSTREAM_GATE	NOT_ESTIMABLE_NO_ALIGNMENT	NOT_ESTIMABLE_NO_ALIGNMENT	UPSTREAM_INPUT_GATE	pre-registered control	1781129
H01	C04_ANCESTRAL_UNCERTAINTY	polarization	posterior integration, epsilon sensitivity, high-posterior and transversion-only	NOT_RUN	required before interpretation	NOT_RUN_UPSTREAM_GATE	NOT_ESTIMABLE_NO_ALIGNMENT	NOT_ESTIMABLE_NO_ALIGNMENT	UPSTREAM_INPUT_GATE	pre-registered control	1781129
H01	C05_ALIGNMENT_FILTERS	alignment	alternate alignment-quality, repeat, duplication, and base-quality filters	NOT_RUN	required before interpretation	NOT_RUN_UPSTREAM_GATE	NOT_ESTIMABLE_NO_ALIGNMENT	NOT_ESTIMABLE_NO_ALIGNMENT	UPSTREAM_INPUT_GATE	pre-registered control	1781129
H01	C06_MUTATION_BIAS	mutation	ancestral 3-mer/5-mer opportunities, GC-conservative rates, CpG sensitivity	NOT_RUN	required before interpretation	NOT_RUN_UPSTREAM_GATE	NOT_ESTIMABLE_NO_ALIGNMENT	NOT_ESTIMABLE_NO_ALIGNMENT	UPSTREAM_INPUT_GATE	pre-registered control	1781129
H01	C07_MULTIPLE_HITS_GC_EQ	substitution_model	nonstationary model with multiple hits and GC equilibrium	NOT_RUN	required before interpretation	NOT_RUN_UPSTREAM_GATE	NOT_ESTIMABLE_NO_ALIGNMENT	NOT_ESTIMABLE_NO_ALIGNMENT	UPSTREAM_INPUT_GATE	pre-registered control	1781129
H01	C08_PHYLOGENETIC_CORRECTION	phylogeny	species tree, local gene tree, branch length, block jackknife	NOT_RUN	required before interpretation	NOT_RUN_UPSTREAM_GATE	NOT_ESTIMABLE_NO_ALIGNMENT	NOT_ESTIMABLE_NO_ALIGNMENT	UPSTREAM_INPUT_GATE	pre-registered control	1781129
H01	C09_ILS_INTROGRESSION	phylogeny	multispecies-coalescent/topology sensitivity	NOT_RUN	required before interpretation	NOT_RUN_UPSTREAM_GATE	NOT_ESTIMABLE_NO_ALIGNMENT	NOT_ESTIMABLE_NO_ALIGNMENT	UPSTREAM_INPUT_GATE	pre-registered control	1781129
H01	C10_RECOMBINATION_CHROM_SIZE	covariates	map or labeled syntenic proxy, chromosome size, local GC	NOT_RUN	required before interpretation	NOT_RUN_UPSTREAM_GATE	NOT_ESTIMABLE_NO_ALIGNMENT	NOT_ESTIMABLE_NO_ALIGNMENT	UPSTREAM_INPUT_GATE	pre-registered control	1781129
H01	C11_PARALOG_SEG_DUP	orthology	reciprocal 1:1 copy control and segmental-duplication exclusion	NOT_RUN	required before interpretation	NOT_RUN_UPSTREAM_GATE	NOT_ESTIMABLE_NO_ALIGNMENT	NOT_ESTIMABLE_NO_ALIGNMENT	UPSTREAM_INPUT_GATE	pre-registered control	1781129
H01	C12_PARTITIONS	annotation	neutral, fourfold, coding, and noncoding partitions	NOT_RUN	required before interpretation	NOT_RUN_UPSTREAM_GATE	NOT_ESTIMABLE_NO_ALIGNMENT	NOT_ESTIMABLE_NO_ALIGNMENT	UPSTREAM_INPUT_GATE	pre-registered control	1781129
H01	C13_MULTIPLE_TESTING	statistics	Holm primary panels; BH and BY exploratory sensitivity	NOT_RUN	required before interpretation	NOT_RUN_UPSTREAM_GATE	NOT_ESTIMABLE_NO_ALIGNMENT	NOT_ESTIMABLE_NO_ALIGNMENT	UPSTREAM_INPUT_GATE	pre-registered control	1781129
H01	C14_H1_H2_SENSITIVITY	claim_boundary	heterozygous H1/H2 W/S states limited to QC sensitivity	NOT_RUN	required before interpretation	NOT_RUN_UPSTREAM_GATE	NOT_ESTIMABLE_NO_ALIGNMENT	NOT_ESTIMABLE_NO_ALIGNMENT	UPSTREAM_INPUT_GATE	pre-registered control	1781129
H02	G01_DESIGN_IDENTITY	identity	five frozen exact accession versions	5 exact versions	5	PASS	NOT_ESTIMABLE_NO_ALIGNMENT	NOT_ESTIMABLE_NO_ALIGNMENT	NONE	gene_conversion_dataset_manifest.tsv	1781129
H02	G02_RELEASED_INVENTORY	acquisition	all five sequence sources inventoried	1/5 accessions; 2 FASTA/2bit objects	5/5	FAIL	NOT_ESTIMABLE_NO_ALIGNMENT	NOT_ESTIMABLE_NO_ALIGNMENT	MISSING_RELEASED_SEQUENCE_SOURCE	vgp_freeze1_source_inventory.tsv	1781129
H02	G03_LOCAL_SEQUENCE	acquisition	five checksum-verified local assemblies	0/5; 0 observed bytes	5/5	FAIL	NOT_ESTIMABLE_NO_ALIGNMENT	NOT_ESTIMABLE_NO_ALIGNMENT	NO_VERIFIED_SEQUENCE_PAYLOAD	vgp_freeze1_mirror_manifest.tsv	1781129
H02	G04_SEQUENCE_CHECKSUM	provenance	published checksum plus local SHA-256 for every assembly	0/5 resolved	5/5	FAIL	NOT_ESTIMABLE_NO_ALIGNMENT	NOT_ESTIMABLE_NO_ALIGNMENT	CHECKSUM_UNRESOLVED	vgp_freeze1_mirror_summary.json	1781129
H02	G04B_LICENSE_AUDIT	provenance	exact assembly/annotation VGP publication status, attribution, and reuse audit	general NCBI policy only; assembly-specific audit unresolved	all used objects	FAIL	NOT_ESTIMABLE_NO_ALIGNMENT	NOT_ESTIMABLE_NO_ALIGNMENT	ASSEMBLY_SPECIFIC_LICENSE_AUDIT_UNRESOLVED	clade manifest	1781129
H02	G05_ANNOTATION_COORDINATES	annotation	exact native annotation or validated coordinate mapping and sequence dictionary	0 exact dictionaries validated	all used partitions	FAIL	NOT_ESTIMABLE_NO_ALIGNMENT	NOT_ESTIMABLE_NO_ALIGNMENT	ANNOTATION_DICTIONARY_UNAVAILABLE	gene_conversion_dataset_manifest.tsv	1781129
H02	G06_TAXON_POLARIZATION	design	at least 3 callable ingroups plus 2 callable outgroups	0 callable ingroups; 0 callable outgroups	>=3 ingroup; >=2 outgroup	FAIL	NOT_ESTIMABLE_NO_ALIGNMENT	NOT_ESTIMABLE_NO_ALIGNMENT	NO_CALLABLE_ALIGNMENT	pre-result gate	1781129
H02	G06B_TOPOLOGY_IDENTITY	phylogeny	versioned species topology/source/checksum/license plus alternate topology	no executable topology artifact frozen	all taxa and branches	FAIL	NOT_ESTIMABLE_NO_ALIGNMENT	NOT_ESTIMABLE_NO_ALIGNMENT	TOPOLOGY_PROVENANCE_UNRESOLVED	design describes sensitivity but supplies no versioned Newick	1781129
H02	G07_NEUTRAL_CALLABILITY	callability	reciprocal 1:1 neutral aligned bases callable in required taxa	0 bases	>=10000 bases	FAIL	NOT_ESTIMABLE_NO_ALIGNMENT	NOT_ESTIMABLE_NO_ALIGNMENT	NO_ORTHOLOGY_PRODUCT	H_SUB preregistration	1781129
H02	G08_H_SUB_COUNTS	estimand	directionally informative substitutions per branch/partition	NOT_ESTIMABLE_NO_BRANCH_ASSIGNMENTS	>=20 WS and >=20 SW	FAIL	NOT_ESTIMABLE_NO_ALIGNMENT	NOT_ESTIMABLE_NO_ALIGNMENT	NO_BRANCH_ASSIGNMENTS	H_SUB preregistration	1781129
H02	G09_H_GBGC_COUNTS	estimand	total directionally informative substitutions	NOT_ESTIMABLE_NO_BRANCH_ASSIGNMENTS	>=100	FAIL	NOT_ESTIMABLE_NO_ALIGNMENT	NOT_ESTIMABLE_NO_ALIGNMENT	NO_BRANCH_ASSIGNMENTS	H_GBGC preregistration	1781129
H02	G10_H_CLUSTER_CALLABILITY	estimand	branch-polarized WS substitutions and continuous callable sequence	NOT_ESTIMABLE_WS; 0 callable bp	>=50 WS and >=20000000 bp	FAIL	NOT_ESTIMABLE_NO_ALIGNMENT	NOT_ESTIMABLE_NO_ALIGNMENT	NO_BRANCH_ASSIGNMENTS	H_CLUSTER preregistration	1781129
H02	G11_FRAGMENTATION_MISSINGNESS	assembly	reason-coded aligned/callable/excluded bases by assembly and gap	metadata contig counts only; no callable denominator	all taxa and partitions	NOT_EVALUABLE	NOT_ESTIMABLE_NO_ALIGNMENT	NOT_ESTIMABLE_NO_ALIGNMENT	NO_ALIGNMENT_FOR_MISSINGNESS_MODEL	clade manifest	1781129
H02	C01_LABEL_SHUFFLE	negative_control	branch/taxon label shuffling	NOT_RUN	required before interpretation	NOT_RUN_UPSTREAM_GATE	NOT_ESTIMABLE_NO_ALIGNMENT	NOT_ESTIMABLE_NO_ALIGNMENT	UPSTREAM_INPUT_GATE	pre-registered control	1781129
H02	C02_NULL_SIMULATION	negative_control	parametric nonstationary null with empirical gaps/GC/branch lengths	NOT_RUN	required before interpretation	NOT_RUN_UPSTREAM_GATE	NOT_ESTIMABLE_NO_ALIGNMENT	NOT_ESTIMABLE_NO_ALIGNMENT	UPSTREAM_INPUT_GATE	pre-registered control	1781129
H02	C03_ALTERNATE_OUTGROUP	polarization	each outgroup separately and agreement analysis	NOT_RUN	required before interpretation	NOT_RUN_UPSTREAM_GATE	NOT_ESTIMABLE_NO_ALIGNMENT	NOT_ESTIMABLE_NO_ALIGNMENT	UPSTREAM_INPUT_GATE	pre-registered control	1781129
H02	C04_ANCESTRAL_UNCERTAINTY	polarization	posterior integration, epsilon sensitivity, high-posterior and transversion-only	NOT_RUN	required before interpretation	NOT_RUN_UPSTREAM_GATE	NOT_ESTIMABLE_NO_ALIGNMENT	NOT_ESTIMABLE_NO_ALIGNMENT	UPSTREAM_INPUT_GATE	pre-registered control	1781129
H02	C05_ALIGNMENT_FILTERS	alignment	alternate alignment-quality, repeat, duplication, and base-quality filters	NOT_RUN	required before interpretation	NOT_RUN_UPSTREAM_GATE	NOT_ESTIMABLE_NO_ALIGNMENT	NOT_ESTIMABLE_NO_ALIGNMENT	UPSTREAM_INPUT_GATE	pre-registered control	1781129
H02	C06_MUTATION_BIAS	mutation	ancestral 3-mer/5-mer opportunities, GC-conservative rates, CpG sensitivity	NOT_RUN	required before interpretation	NOT_RUN_UPSTREAM_GATE	NOT_ESTIMABLE_NO_ALIGNMENT	NOT_ESTIMABLE_NO_ALIGNMENT	UPSTREAM_INPUT_GATE	pre-registered control	1781129
H02	C07_MULTIPLE_HITS_GC_EQ	substitution_model	nonstationary model with multiple hits and GC equilibrium	NOT_RUN	required before interpretation	NOT_RUN_UPSTREAM_GATE	NOT_ESTIMABLE_NO_ALIGNMENT	NOT_ESTIMABLE_NO_ALIGNMENT	UPSTREAM_INPUT_GATE	pre-registered control	1781129
H02	C08_PHYLOGENETIC_CORRECTION	phylogeny	species tree, local gene tree, branch length, block jackknife	NOT_RUN	required before interpretation	NOT_RUN_UPSTREAM_GATE	NOT_ESTIMABLE_NO_ALIGNMENT	NOT_ESTIMABLE_NO_ALIGNMENT	UPSTREAM_INPUT_GATE	pre-registered control	1781129
H02	C09_ILS_INTROGRESSION	phylogeny	multispecies-coalescent/topology sensitivity	NOT_RUN	required before interpretation	NOT_RUN_UPSTREAM_GATE	NOT_ESTIMABLE_NO_ALIGNMENT	NOT_ESTIMABLE_NO_ALIGNMENT	UPSTREAM_INPUT_GATE	pre-registered control	1781129
H02	C10_RECOMBINATION_CHROM_SIZE	covariates	map or labeled syntenic proxy, chromosome size, local GC	NOT_RUN	required before interpretation	NOT_RUN_UPSTREAM_GATE	NOT_ESTIMABLE_NO_ALIGNMENT	NOT_ESTIMABLE_NO_ALIGNMENT	UPSTREAM_INPUT_GATE	pre-registered control	1781129
H02	C11_PARALOG_SEG_DUP	orthology	reciprocal 1:1 copy control and segmental-duplication exclusion	NOT_RUN	required before interpretation	NOT_RUN_UPSTREAM_GATE	NOT_ESTIMABLE_NO_ALIGNMENT	NOT_ESTIMABLE_NO_ALIGNMENT	UPSTREAM_INPUT_GATE	pre-registered control	1781129
H02	C12_PARTITIONS	annotation	neutral, fourfold, coding, and noncoding partitions	NOT_RUN	required before interpretation	NOT_RUN_UPSTREAM_GATE	NOT_ESTIMABLE_NO_ALIGNMENT	NOT_ESTIMABLE_NO_ALIGNMENT	UPSTREAM_INPUT_GATE	pre-registered control	1781129
H02	C13_MULTIPLE_TESTING	statistics	Holm primary panels; BH and BY exploratory sensitivity	NOT_RUN	required before interpretation	NOT_RUN_UPSTREAM_GATE	NOT_ESTIMABLE_NO_ALIGNMENT	NOT_ESTIMABLE_NO_ALIGNMENT	UPSTREAM_INPUT_GATE	pre-registered control	1781129
H02	C14_H1_H2_SENSITIVITY	claim_boundary	heterozygous H1/H2 W/S states limited to QC sensitivity	NOT_RUN	required before interpretation	NOT_RUN_UPSTREAM_GATE	NOT_ESTIMABLE_NO_ALIGNMENT	NOT_ESTIMABLE_NO_ALIGNMENT	UPSTREAM_INPUT_GATE	pre-registered control	1781129
GLOBAL	E01_EXECUTION_ENVIRONMENT	execution	pinned Guix channel and authorized Slurm	Guix 44bbfc24e4bcc48d0e3343cd3d83452721af8c36; profile /gnu/store/ff3msd4h7prl407s3d74a4i5cxbvn694-profile; Slurm job 1781129; metadata preflight only	both required	PASS	NOT_ESTIMABLE_NO_ALIGNMENT	NOT_ESTIMABLE_NO_ALIGNMENT	NONE	slurm environment plus analysis/guix/channels.scm	1781129
GLOBAL	E02_BULK_MIRROR	execution	verified mirror completion	quota_visibility_unavailable_fail_closed; 0 jobs; 0 verified objects	complete verified inputs	FAIL	NOT_ESTIMABLE_NO_ALIGNMENT	NOT_ESTIMABLE_NO_ALIGNMENT	UPSTREAM_MIRROR_BLOCKED	vgp_freeze1_mirror_summary.json	1781129
